item_id,available_inventory,forecast_7d,forecast_30d,gap_7d,gap_30d,shortage_quantity,days_until_stockout,projected_stockout_date,inventory_risk_score,procurement_priority,procurement_alert,procurement_trigger,procurement_category,procurement_reason,recommended_po_qty,revenue_at_risk
FOODS_2_197,508,125.44839999999999,518.5907,-342.0136,51.12869999999998,51,29.4,2026-07-07,34.9,Low,NO,NO,Planned,Forecast Shortage,51,170.92
FOODS_2_019,356,92.0201,409.2445,-232.7149,84.5095,85,26.1,2026-07-04,39.3,Low,NO,NO,Planned,Forecast Shortage,85,284.93
HOUSEHOLD_1_032,124,63.244600000000005,252.2073,-36.83839999999999,152.1243,152,14.7,2026-06-22,61.1,High,NO,YES,Planned,Forecast Shortage,152,1628.4
HOUSEHOLD_1_535,189,47.353699999999996,205.7132,-122.9603,35.39920000000001,35,27.6,2026-07-05,37.8,Low,NO,NO,Planned,Forecast Shortage,35,243.95
FOODS_2_244,164,38.9778,161.3322,-104.87819999999999,17.476200000000006,17,30.5,2026-07-08,35.2,Low,NO,NO,Monitor,Forecast Shortage,17,100.57
HOUSEHOLD_1_110,167,62.4466,249.7018,-81.16040000000001,106.09479999999996,106,20.1,2026-06-28,47.9,Medium,NO,YES,Planned,Forecast Shortage,106,397.17
FOODS_2_276,247,61.4296,252.1623,-158.9674,31.765299999999968,32,29.4,2026-07-07,36.1,Low,NO,NO,Planned,Forecast Shortage,32,107.27
FOODS_2_052,85,16.8819,70.3051,-58.2851,-4.861900000000006,0,36.3,2026-07-14,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_053,44,19.288,77.3441,-15.643,42.4131,42,17.1,2026-06-25,52.5,Medium,NO,YES,Planned,Forecast Shortage,42,628.74
HOUSEHOLD_1_106,116,25.7723,105.6542,-75.7847,4.097200000000001,4,32.9,2026-07-10,32.5,Low,NO,NO,Monitor,Forecast Shortage,4,36.41
HOUSEHOLD_1_272,71,54.1234,214.1491,1.412399999999991,161.43810000000002,161,9.9,2026-06-17,67.0,High,NO,YES,Urgent,Forecast Shortage; Impending Stockout,161,1605.17
HOUSEHOLD_1_096,150,57.0616,237.9497,-70.6654,110.22270000000003,110,18.9,2026-06-26,49.4,Medium,NO,YES,Planned,Forecast Shortage,110,412.15
HOUSEHOLD_1_514,241,52.8166,223.4521,-167.92239999999998,2.713099999999997,3,32.4,2026-07-10,31.5,Low,NO,NO,Monitor,Forecast Shortage,3,11.24
HOUSEHOLD_1_494,96,23.523799999999998,96.3756,-62.607200000000006,10.244600000000005,10,29.9,2026-07-07,35.1,Low,NO,NO,Planned,Forecast Shortage,10,79.7
FOODS_2_131,110,37.6859,145.2202,-57.5201,50.01420000000002,50,22.7,2026-06-30,44.7,Medium,NO,NO,Planned,Forecast Shortage,50,298.41
FOODS_2_347,87,68.8244,273.5006,11.278400000000005,215.95460000000003,216,9.5,2026-06-17,62.5,High,YES,YES,Urgent,Forecast Shortage; Below Reorder Point; Impending Stockout,216,443.58
HOUSEHOLD_1_497,34,10.576,38.6954,-15.651,12.468400000000003,12,26.4,2026-07-04,49.1,Medium,NO,NO,Planned,Forecast Shortage,12,182.16
FOODS_2_349,110,25.741,106.08330000000001,-71.64099999999999,8.701300000000003,9,31.1,2026-07-09,34.4,Low,NO,NO,Monitor,Forecast Shortage,9,53.71
FOODS_2_183,68,19.8386,78.8085,-38.7224,20.247500000000002,20,25.9,2026-07-03,41.1,Medium,NO,NO,Planned,Forecast Shortage,20,179.6
HOUSEHOLD_1_066,191,45.6577,187.8082,-125.0253,17.125200000000007,17,30.5,2026-07-08,34.6,Low,NO,NO,Monitor,Forecast Shortage,17,51.74
HOUSEHOLD_1_409,196,43.8381,176.634,-135.3049,-2.5090000000000146,0,33.3,2026-07-11,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_029,19,33.1017,136.5625,31.368700000000004,134.8295,135,4.2,2026-06-12,84.4,Critical,YES,YES,Emergency,Forecast Shortage; Below Reorder Point; Impending Stockout; High Risk SKU,135,1443.09
HOUSEHOLD_1_165,11,3.5892999999999997,14.641399999999999,-0.6277000000000008,10.424399999999999,10,22.5,2026-06-30,62.6,High,YES,NO,Planned,Forecast Shortage; Below Reorder Point,10,178.17
HOUSEHOLD_1_140,10,10.483,38.3417,7.475999999999999,35.334700000000005,35,7.8,2026-06-15,72.6,High,YES,YES,Urgent,Forecast Shortage; Below Reorder Point; Impending Stockout,35,523.95
FOODS_1_170,89,20.6568,72.4429,-48.5642,3.221899999999991,3,36.9,2026-07-14,38.7,Low,NO,NO,Monitor,Forecast Shortage,3,16.54
FOODS_2_293,88,18.9579,90.0559,-49.96210000000001,21.135899999999992,21,29.3,2026-07-07,40.2,Medium,NO,NO,Planned,Forecast Shortage,21,86.4
FOODS_1_012,95,21.6103,82.4707,-62.029700000000005,-1.169300000000007,0,34.6,2026-07-12,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_338,146,33.9995,144.0025,-95.6245,14.378500000000003,14,30.4,2026-07-08,34.9,Low,NO,NO,Monitor,Forecast Shortage,14,55.2
HOUSEHOLD_1_072,71,11.5937,42.5314,-51.8103,-20.872600000000006,0,50.1,2026-07-28,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_1_004,117,22.8817,97.345,-57.589299999999994,16.873999999999995,17,36.1,2026-07-14,37.9,Low,NO,NO,Monitor,Forecast Shortage,17,32.97
FOODS_2_222,49,37.7528,158.7971,13.592799999999997,134.6371,135,9.3,2026-06-17,64.8,High,YES,YES,Urgent,Forecast Shortage; Below Reorder Point; Impending Stockout,135,343.75
